Targets,Sample Size,Set Size,Set Size + Idiosyncratic,Frequency (K&F),Concreteness(Scale 1-7),Homograph? (Letter=Yes),Part of Speech,Mean Connectivity,Connectivity Strength,Resonance Probability,Resonance Strength,Accessibility Index,Non-Responses,Ending Stem Set Size  ,Ending Stem Strength,Beginning Stem Set Size,Beginning Stem Strength,Ending Fragment Cue,Ending Fragment Set size,Ending Fragment Strength,Beginning Fragment Cue,Beginning Cue Set Size,Beginning Cue Strength
PARSLEY,149,29,49,1,missing,,N,2.52,7.050,0.08,1.040,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PART,148,17,32,500,3.05,G,N,2.07,4.130,0.47,2.150,30,0.00,12,0.15,missing,missing,,missing,missing,PA--,19,0.03
PARTIALITY,79,13,26,0,1.98,,N,missing,missing,missing,missing,0,0.06,missing,missing,missing,missing,,missing,missing,,missing,missing
PARTICIPATE,145,21,52,22,3.88,,V,missing,missing,missing,missing,3,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
PARTNER,145,17,46,32,5.49,,N,3.18,7.560,0.24,1.070,7,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
PARTY,184,22,46,216,5.50,T,N,1.29,2.610,0.33,1.530,84,0.03,missing,missing,missing,missing,-ARTY,2,0.86,PA---,8,0.10
PASS,148,20,49,89,2.81,N,V,1.00,2.310,0.11,1.240,19,0.05,16,0.18,18,0.17,,missing,missing,PA--,19,0.02
PASS OUT,149,14,41,0,missing,,V,1.92,0.000,0.15,0.000,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PASSAGE,144,25,62,49,missing,T,N,1.68,4.440,0.14,1.100,6,0.03,5,0.00,18,0.00,----AGE,25,0.04,,missing,missing
PASSENGER,153,10,23,14,6.08,,N,2.10,3.000,0.10,1.130,2,0.02,missing,missing,18,0.01,,missing,missing,,missing,missing
PASSION,150,12,30,28,1.66,,N,1.00,2.650,0.20,1.090,7,0.03,missing,missing,18,0.02,,missing,missing,,missing,missing
PASSIVE,153,16,50,11,missing,,AJ,missing,missing,missing,missing,5,0.05,missing,missing,18,0.01,,missing,missing,,missing,missing
PAST,148,10,24,281,2.86,,AJ,0.90,1.180,0.50,1.790,25,0.01,9,0.19,18,0.10,-AST,6,0.05,PA--,19,0.04
PASTA,148,13,32,0,missing,,N,missing,missing,missing,missing,10,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PASTE,127,4,17,10,5.90,,N,0.50,1.460,0.75,1.140,4,0.00,21,0.10,missing,missing,-ASTE,5,0.21,,missing,missing
PASTRY,150,22,48,4,missing,,N,missing,missing,missing,missing,4,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PASTURE,147,8,21,14,6.08,,N,2.12,3.090,0.50,1.070,4,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
PAT,148,19,50,35,3.80,N,V,1.37,3.650,0.00,1.000,4,0.03,15,0.10,18,0.08,-AT,9,0.06,P--,16,0.06
PATCH,152,21,48,13,missing,,N,0.63,2.010,0.26,1.270,5,0.09,10,0.04,missing,missing,-ATCH,7,0.09,PA---,8,0.20
PATH,162,12,33,44,4.93,,N,1.75,2.810,0.25,1.360,13,0.01,6,0.04,18,0.22,-ATH,4,0.24,PA--,19,0.06
PATIENCE,197,21,53,22,2.44,,N,0.94,1.270,0.17,1.280,4,0.09,missing,missing,missing,missing,,missing,missing,,missing,missing
PATIENT,148,10,33,86,5.11,P,AJ,1.40,3.250,0.40,1.280,11,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PATIO,153,18,40,2,missing,,N,1.56,4.350,0.13,1.070,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PATRIARCH,79,11,33,2,4.23,,N,missing,missing,missing,missing,1,0.14,missing,missing,missing,missing,,missing,missing,,missing,missing
PATRIOT,154,20,45,10,missing,,N,1.28,2.530,0.11,1.080,2,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
PATRIOTIC,150,22,47,10,missing,,AJ,3.05,6.030,0.05,1.050,2,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
PATROL,150,10,37,25,missing,,N,1.56,2.550,0.22,1.030,4,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
PATTERN,132,23,61,113,missing,,N,1.57,2.770,0.10,1.030,6,0.02,missing,missing,18,0.00,,missing,missing,,missing,missing
PAUSE,143,14,34,21,2.96,,V,1.29,2.980,0.14,1.140,3,0.03,missing,missing,15,0.07,,missing,missing,PA---,8,0.01
PAVEMENT,138,13,20,11,5.08,,N,3.31,4.520,0.31,1.210,6,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PAW,147,13,25,3,missing,,N,2.62,6.080,0.15,1.050,2,0.03,missing,missing,15,0.35,-AW,5,0.15,,missing,missing
PAWN,148,11,32,2,4.73,T,N,1.30,2.050,0.00,1.000,1,0.03,10,0.05,15,0.13,-AWN,5,0.08,,missing,missing
PAY,127,13,21,172,4.65,,V,2.62,6.530,0.39,1.340,40,0.01,26,0.08,missing,missing,--Y,24,0.01,,missing,missing
PAYMENT,145,13,26,53,4.58,,N,2.31,5.330,0.39,1.310,13,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
PEACE,143,19,36,198,2.98,,N,0.67,1.540,0.33,1.650,30,0.01,11,0.14,missing,missing,,missing,missing,PEA--,3,0.13
PEACEFUL,132,20,61,26,3.52,,AJ,1.38,2.210,0.25,1.330,11,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PEACH,97,10,26,3,6.05,,N,2.22,2.930,0.56,1.240,10,0.02,13,0.41,missing,missing,,missing,missing,PEA--,3,0.35
PEAK,145,12,27,16,4.75,,N,1.64,3.300,0.36,1.430,11,0.10,20,0.04,missing,missing,,missing,missing,PE--,14,0.08
PEANUT,139,15,35,6,missing,,N,0.55,1.710,0.46,1.490,11,0.00,15,0.00,missing,missing,,missing,missing,,missing,missing
PEANUT BUTTER,140,10,22,0,missing,,N,1.90,0.000,0.40,0.000,9,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PEANUTS,150,23,46,5,missing,,N,missing,missing,missing,missing,4,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
PEAR,147,9,26,6,6.30,,N,1.89,2.210,0.33,1.210,6,0.06,25,0.02,missing,missing,-EAR,9,0.06,PE--,14,0.14
PEARL,184,14,36,9,5.85,,N,1.85,3.340,0.31,1.180,8,0.04,11,0.49,missing,missing,-EARL,1,0.99,PEA--,3,0.16
PEAS,148,13,22,24,missing,,N,missing,missing,missing,missing,9,0.02,21,0.05,missing,missing,,missing,missing,PE--,14,0.06
PEBBLE,94,4,16,1,6.02,,N,1.25,2.860,0.50,1.050,3,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
PECAN,152,6,20,1,6.53,,N,0.83,1.050,0.17,1.030,4,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
PEDAL,149,11,25,4,5.95,,N,1.09,2.310,0.18,1.060,4,0.03,missing,missing,16,0.01,,missing,missing,,missing,missing
PEDESTRIAN,154,9,19,6,missing,,N,1.00,1.650,0.22,1.040,4,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PEEL,184,10,25,3,4.28,,N,2.11,3.100,0.11,1.090,4,0.04,17,0.08,missing,missing,-EEL,5,0.19,PE--,14,0.19
PEER,154,12,40,8,5.43,N,N,0.67,2.450,0.08,1.020,4,0.00,22,0.06,missing,missing,-EER,5,0.12,PE--,14,0.06
PELICAN,98,9,20,0,6.44,,N,2.00,2.290,0.00,1.000,0,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
PELT,148,14,45,9,6.20,W,V,0.67,2.000,0.00,1.000,0,0.15,7,0.09,missing,missing,-ELT,5,0.02,PE--,14,0.02
PEN,138,4,11,18,5.59,N,N,2.00,1.470,1.00,2.600,43,0.03,12,0.15,16,0.02,,missing,missing,,missing,missing
PENCIL,143,9,22,34,7.00,,N,0.75,1.610,0.75,2.520,30,0.00,4,0.86,missing,missing,,missing,missing,,missing,missing
PENDULUM,153,11,38,2,missing,,N,0.30,2.040,0.10,1.010,1,0.07,missing,missing,missing,missing,,missing,missing,,missing,missing
PENGUIN,156,17,23,0,6.47,,N,missing,missing,missing,missing,3,0.06,missing,missing,missing,missing,,missing,missing,,missing,missing
PENNY,149,12,23,25,5.92,,N,2.50,4.250,0.60,1.470,13,0.01,missing,missing,missing,missing,--N-Y,17,0.06,,missing,missing
PEOPLE,148,18,43,847,5.51,,N,1.44,2.060,0.61,2.620,154,0.07,missing,missing,missing,missing,,missing,missing,,missing,missing
PEPPER,197,6,19,13,5.61,,N,1.17,1.650,0.67,1.900,10,0.01,missing,missing,16,0.02,---PER,13,0.14,,missing,missing
PEPPERONI,152,5,17,1,missing,,N,0.60,1.160,0.40,1.110,2,0.00,14,0.01,missing,missing,,missing,missing,,missing,missing
PEPSI,146,5,25,0,missing,,N,0.80,1.030,0.40,1.040,8,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
PERCEIVE,148,15,47,13,missing,,V,2.00,4.850,0.13,1.020,4,0.05,15,0.00,missing,missing,,missing,missing,,missing,missing
PERCENT,152,22,43,53,missing,,N,missing,missing,missing,missing,5,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
PERCENTAGE,148,19,40,45,missing,,N,missing,missing,missing,missing,0,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PERCEPTION,142,16,54,29,2.33,,N,2.38,4.670,0.06,1.030,3,0.13,missing,missing,missing,missing,,missing,missing,,missing,missing
PERCH,148,8,20,1,5.09,N,N,0.88,2.100,0.13,1.060,1,0.03,6,0.20,missing,missing,,missing,missing,,missing,missing
PERFECT,130,18,71,58,missing,W,AJ,missing,missing,missing,missing,13,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
PERFORM,151,15,50,29,missing,,V,2.29,2.690,0.14,1.040,4,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PERFORMANCE,145,24,64,122,missing,,N,3.18,4.370,0.09,1.060,9,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
PERFUME,140,12,25,10,6.03,,N,2.17,4.850,0.42,1.960,14,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PERIOD,126,12,49,265,3.92,T,N,missing,missing,missing,missing,21,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PERISCOPE,152,13,39,1,missing,,N,0.75,1.090,0.08,1.010,1,0.20,missing,missing,missing,missing,,missing,missing,,missing,missing
PERISH,180,24,50,2,3.25,,V,2.13,5.850,0.00,1.000,1,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
PERJURY,144,11,44,3,2.70,,N,2.55,2.860,0.00,1.000,0,0.08,missing,missing,missing,missing,,missing,missing,,missing,missing
PERMISSION,151,18,36,27,4.43,,V,1.47,2.000,0.18,1.100,5,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
PERMIT,148,15,30,77,4.00,W,V,2.40,4.030,0.33,1.240,7,0.03,2,0.00,missing,missing,,missing,missing,,missing,missing
PEROXIDE,150,15,35,2,missing,,N,1.50,2.330,0.07,1.230,2,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
PERSON,146,14,34,175,6.51,,N,1.85,3.230,0.31,1.730,134,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PERSONAL,130,12,50,196,2.90,,AJ,1.09,2.450,0.46,1.230,14,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
PERSONALITY,138,25,58,48,2.61,,N,2.24,4.900,0.44,1.710,18,0.06,missing,missing,missing,missing,,missing,missing,,missing,missing
PERSONNEL,146,15,51,74,missing,,N,missing,missing,missing,missing,0,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PERSPIRE,153,4,17,0,5.10,,V,1.00,1.420,0.50,1.210,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PERSUADE,146,17,69,17,2.57,,V,missing,missing,missing,missing,8,0.09,missing,missing,missing,missing,,missing,missing,,missing,missing
PEST,148,15,25,4,3.62,,N,2.77,6.340,0.62,1.250,14,0.01,20,0.11,16,0.06,-EST,8,0.04,PE--,13,0.03
PET,146,11,22,8,5.32,N,N,1.33,3.190,0.22,1.020,7,0.01,19,0.09,16,0.64,-ET,10,0.10,P--,16,0.03
PETALS,127,3,7,4,5.74,,N,1.00,1.490,0.67,1.210,4,0.10,missing,missing,16,0.01,,missing,missing,,missing,missing
PETROLEUM,138,7,14,1,missing,,N,1.50,2.860,0.33,1.080,2,0.01,18,0.00,16,0.00,,missing,missing,,missing,missing
PETS,152,5,23,6,missing,,N,0.80,2.260,0.20,1.070,1,0.00,missing,missing,missing,missing,,missing,missing,PE--,14,0.08
PHANTOM,148,10,30,2,2.50,,N,1.70,1.700,0.20,1.040,2,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
PHASE,146,22,60,72,3.56,,N,1.10,3.330,0.00,1.000,0,0.03,20,0.08,15,0.02,,missing,missing,,missing,missing
PHILOSOPHER,152,20,59,16,missing,,N,missing,missing,missing,missing,2,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
PHILOSOPHY,150,24,58,86,2.67,,N,3.30,5.280,0.10,1.040,3,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
PHONE,145,10,24,54,6.02,,N,0.80,1.370,0.70,2.030,30,0.02,26,0.11,9,0.13,--ONE,9,0.10,PHO--,3,0.62
PHONY,150,14,38,12,missing,,AJ,1.64,2.630,0.09,1.060,2,0.02,14,0.21,9,0.01,,missing,missing,PHO--,3,0.03
PHOTO,196,15,33,5,5.88,,N,missing,missing,missing,missing,7,0.00,missing,missing,9,0.07,,missing,missing,PHO--,3,0.27
PHRASE,147,11,43,34,missing,,N,1.56,1.810,0.56,1.200,7,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
PHYSICAL,148,17,46,138,missing,,AJ,1.21,1.420,0.29,1.210,13,0.01,missing,missing,12,0.00,,missing,missing,,missing,missing
PHYSICIAN,148,4,24,14,6.59,,N,0.25,0.900,0.25,1.040,1,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
PHYSICS,144,11,39,22,4.02,,N,2.09,3.010,0.09,1.080,18,0.01,16,0.00,12,0.00,,missing,missing,,missing,missing
PHYSIOLOGY,150,14,38,2,missing,,N,1.93,3.250,0.07,1.100,1,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
PIANO,165,14,27,38,6.26,,N,1.54,1.980,0.54,1.980,16,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
PICK,148,13,41,55,4.98,W,V,0.50,1.770,0.25,1.690,27,0.04,21,0.07,15,0.16,-ICK,6,0.07,PI--,11,0.22
PICK UP,147,15,46,3,missing,,V,missing,missing,missing,missing,3,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
PICKET,146,11,28,9,4.46,T,N,missing,missing,missing,missing,2,0.03,missing,missing,15,0.00,---KET,11,0.01,,missing,missing
PICKLE,146,15,41,1,5.93,,N,0.50,1.910,0.08,1.870,2,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
PICKLES,144,14,34,1,5.93,,N,0.83,2.890,0.25,1.270,5,0.02,missing,missing,15,0.03,,missing,missing,,missing,missing
PICNIC,143,13,25,15,5.40,,N,0.73,2.090,0.27,1.110,13,0.00,missing,missing,15,0.00,,missing,missing,,missing,missing
PICTURE,98,11,28,162,6.75,,N,1.50,1.310,0.90,3.890,54,0.03,missing,missing,15,0.01,,missing,missing,,missing,missing
PIE,184,21,39,14,6.09,,N,2.10,4.380,0.55,3.050,36,0.01,25,0.08,missing,missing,-IE,5,0.68,PI-,4,0.62
PIECE,142,13,32,129,3.75,,N,1.00,1.840,0.46,1.730,30,0.04,11,0.03,missing,missing,,missing,missing,,missing,missing
PIECES,152,14,42,92,3.75,,N,missing,missing,missing,missing,8,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
PIER,146,11,33,3,5.76,,N,2.00,3.180,0.09,1.080,2,0.05,22,0.01,missing,missing,,missing,missing,PI--,11,0.01
PIG,180,22,44,8,6.92,,N,1.80,3.200,0.55,3.140,27,0.02,11,0.20,15,0.17,-IG,7,0.29,PI-,4,0.12
PIGEON,99,7,21,3,5.77,G,N,0.80,1.860,0.20,1.010,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PIGMENT,149,8,25,9,missing,,N,missing,missing,missing,missing,0,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
PIKE,184,11,39,41,4.29,,N,0.60,1.300,0.10,1.020,1,0.18,11,0.08,missing,missing,-IKE,6,0.08,PI--,11,0.25
PILE,144,20,48,25,5.00,,N,missing,missing,missing,missing,7,0.01,15,0.12,missing,missing,,missing,missing,PI--,11,0.04
PILL,141,14,31,15,5.88,,N,missing,missing,missing,missing,16,0.04,15,0.27,15,0.01,-ILL,11,0.28,PI--,11,0.12
PILLOW,165,14,21,8,6.12,,N,0.93,2.670,0.57,1.460,18,0.00,missing,missing,missing,missing,--LLOW,8,0.16,,missing,missing
PILOT,156,8,21,44,5.95,G,N,0.71,1.430,0.43,1.520,10,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PIMPLE,150,13,25,0,5.75,,N,missing,missing,missing,missing,4,0.02,3,0.33,missing,missing,-IMPLE,3,0.12,,missing,missing
PIN,180,15,36,16,5.81,,N,1.14,3.320,0.57,1.480,21,0.16,18,0.16,15,0.04,-IN,7,0.27,PI-,11,0.04
PINCH,146,22,43,6,missing,T,V,1.53,3.960,0.16,1.030,9,0.00,9,0.55,15,0.00,--NCH,12,0.30,,missing,missing
PINE,148,7,19,14,5.88,G,N,0.86,2.360,0.14,1.010,4,0.04,21,0.04,missing,missing,-INE,8,0.10,PI--,11,0.12
PINK,186,23,53,48,4.08,,N,2.20,4.260,0.25,1.280,19,0.03,18,0.17,missing,missing,-INK,8,0.48,PI--,11,0.06
PINT,151,14,20,13,4.79,,N,1.69,2.780,0.15,1.210,3,0.02,missing,missing,missing,missing,,missing,missing,PI--,11,0.03
PIOUS,142,10,63,10,2.84,,AJ,1.00,0.440,0.11,1.010,2,0.45,missing,missing,missing,missing,,missing,missing,,missing,missing
PIPE,148,15,41,20,6.90,T,N,0.86,3.200,0.43,1.140,15,0.01,11,0.28,missing,missing,-IPE,3,0.24,PI--,11,0.07
PIRATE,150,20,67,4,missing,,N,0.80,2.110,0.20,1.050,9,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
PISSED,148,7,23,0,missing,,V,1.33,2.270,0.17,1.030,4,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
PISTOL,199,10,24,27,6.59,,N,2.33,4.210,0.33,1.080,5,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
PISTON,146,9,26,7,6.87,,N,missing,missing,missing,missing,3,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
PIT,142,20,39,14,5.33,W,N,0.37,1.170,0.32,1.320,14,0.05,13,0.09,15,0.31,-IT,10,0.20,PI-,4,0.22
PITCH,144,10,36,22,missing,N,N,2.20,3.200,0.20,1.080,10,0.00,13,0.14,15,0.00,,missing,missing,,missing,missing
PITCHER,148,12,33,21,missing,N,N,2.00,3.100,0.08,1.210,4,0.01,9,0.77,missing,missing,,missing,missing,,missing,missing
PITCHFORK,147,14,33,2,missing,,N,1.43,2.570,0.14,1.040,2,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
PITY,146,14,35,14,3.30,,N,1.15,3.400,0.23,1.090,7,0.10,9,0.21,15,0.03,-ITY,3,0.33,PI--,11,0.04
PIZZA,148,14,36,3,6.42,,N,1.43,3.620,0.43,2.090,21,0.10,missing,missing,missing,missing,,missing,missing,,missing,missing
PLACE,144,22,66,571,3.98,,N,1.33,3.250,0.39,2.300,62,0.06,14,0.10,missing,missing,--ACE,5,0.35,PLA--,8,0.26
PLAID,143,22,41,1,4.55,,N,2.39,3.450,0.22,1.150,4,0.06,15,0.01,14,0.14,,missing,missing,PLA--,8,0.05
PLAIN,145,20,65,48,5.28,N,AJ,0.80,1.520,0.33,1.430,17,0.03,38,0.02,missing,missing,--AIN,10,0.12,PLA--,8,0.02
PLAN,197,28,69,205,3.53,,N,1.46,3.320,0.36,2.130,31,0.05,14,0.01,14,0.06,,missing,missing,,missing,missing
PLANE,143,12,42,114,5.31,N,N,1.75,1.960,0.58,2.100,39,0.02,38,0.01,missing,missing,,missing,missing,PLA--,8,0.17
PLANET,165,9,20,21,5.64,,N,3.56,2.730,0.78,2.340,17,0.01,missing,missing,missing,missing,,missing,missing,PLA---,13,9.00
PLANETS,152,18,42,1,missing,,N,missing,missing,missing,missing,3,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
PLANNING,147,23,70,129,missing,,V,1.70,2.590,0.00,1.000,0,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
PLANT,181,14,36,125,5.98,T,N,1.86,3.200,0.57,1.970,55,0.03,11,0.11,14,0.05,--ANT,5,0.25,PLA--,8,0.09
PLANTS,152,10,37,2,5.98,,N,0.89,1.200,0.22,1.050,5,0.00,10,0.02,missing,missing,--ANTS,4,0.54,PLA---,13,0.13
PLAQUE,152,13,29,2,5.56,,N,1.25,2.370,0.08,1.020,4,0.03,missing,missing,14,0.29,,missing,missing,PLA---,13,0.22
PLASMA,148,4,17,13,5.08,,N,0.75,1.050,0.25,1.050,1,0.01,missing,missing,14,0.03,,missing,missing,,missing,missing
PLASTER,148,20,53,23,missing,,N,1.72,3.200,0.17,1.030,4,0.02,missing,missing,14,0.04,,missing,missing,,missing,missing
PLASTIC,145,23,58,31,missing,,AJ,1.37,2.350,0.32,1.440,10,0.01,21,0.00,14,0.12,,missing,missing,,missing,missing
PLATE,165,12,25,22,5.74,,N,3.42,5.910,0.42,1.620,20,0.01,25,0.04,missing,missing,--ATE,8,0.29,PLA--,8,0.18
PLATES,147,16,33,23,missing,,N,missing,missing,missing,missing,3,0.01,missing,missing,missing,missing,,missing,missing,PLA---,13,0.03
PLATFORM,148,12,48,72,missing,,N,0.30,0.850,0.10,1.030,1,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PLAY,149,21,59,200,4.22,P,V,1.30,3.080,0.45,1.960,95,0.02,26,0.05,missing,missing,,missing,missing,,missing,missing
PLAY DOUGH,150,20,43,0,missing,,N,missing,missing,missing,missing,1,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
PLAYER,138,20,44,51,missing,,N,3.67,5.700,0.50,1.340,27,0.01,missing,missing,missing,missing,,missing,missing,PLA---,13,0.05
PLAYGROUND,99,12,27,4,6.50,,N,1.70,1.630,0.40,1.250,6,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PLAYING,148,19,42,101,3.75,,V,missing,missing,missing,missing,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PLAYTHING,146,11,27,0,4.88,,N,1.45,1.750,0.09,1.030,1,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
PLAZA,148,13,35,2,missing,,N,1.15,3.300,0.00,1.000,1,0.01,missing,missing,14,0.01,,missing,missing,,missing,missing
PLEAD,148,9,23,5,3.08,,V,1.44,2.140,0.11,1.250,4,0.00,26,0.01,missing,missing,,missing,missing,,missing,missing
PLEASANT,152,19,74,38,missing,,AJ,1.89,4.160,0.17,1.140,6,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
PLEASE,151,19,47,62,2.08,,V,1.41,4.150,0.24,1.100,14,0.06,21,0.27,missing,missing,,missing,missing,,missing,missing
PLEASURE,144,18,43,62,2.10,,N,1.83,2.920,0.28,1.190,12,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
PLEDGE,152,16,31,3,2.93,,N,1.00,3.270,0.25,1.400,4,0.02,9,0.03,missing,missing,,missing,missing,,missing,missing
PLENTY,142,17,38,55,2.88,,N,3.07,4.070,0.57,1.460,14,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
PLIERS,148,16,33,1,missing,,N,1.73,2.980,0.13,1.090,2,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
PLOT,138,15,39,37,4.16,N,N,1.29,2.700,0.29,1.240,8,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
PLOW,150,17,46,12,5.69,,V,2.12,2.660,0.18,1.100,6,0.06,11,0.01,missing,missing,--OW,12,0.16,,missing,missing
PLUCK,147,13,33,2,missing,,V,1.08,2.650,0.15,1.200,2,0.05,12,0.01,missing,missing,,missing,missing,,missing,missing
PLUG,144,25,35,23,6.00,G,N,1.30,3.670,0.30,1.520,12,0.02,16,0.04,missing,missing,--UG,7,0.29,,missing,missing
PLUM,127,13,24,1,6.18,,N,2.33,3.730,0.33,1.150,4,0.00,18,0.00,missing,missing,--UM,6,0.22,,missing,missing
PLUMBER,149,14,45,4,missing,,N,missing,missing,missing,missing,5,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
PLUS,142,4,17,52,2.18,,PP,1.75,2.720,0.50,1.610,9,0.04,11,0.01,missing,missing,,missing,missing,,missing,missing
PLUSH,152,23,58,3,missing,,AJ,1.89,2.650,0.06,1.020,3,0.05,11,0.08,missing,missing,--USH,7,0.11,,missing,missing
